TIME_PERIOD;GEO;AGE;SEX;Obs_status;Obs_value
2019-W01;CH055;Y45T49;M;;1
2019-W01;CH055;Y55T59;T;;3
2019-W01;CH055;Y55T59;F;;2
2019-W01;CH055;Y55T59;M;;1
2019-W01;CH055;Y60T64;T;;6
2019-W01;CH055;Y60T64;F;;4
2019-W01;CH055;Y60T64;M;;2
2019-W01;CH055;Y65T69;T;;8
2019-W01;CH055;Y65T69;F;;2
2019-W01;CH055;Y65T69;M;;6
2019-W01;CH055;Y70T74;T;;10
2019-W01;CH055;Y70T74;F;;3
2019-W01;CH055;Y70T74;M;;7
2019-W01;CH055;Y75T79;T;;9
2019-W01;CH055;Y75T79;F;;4
2019-W01;CH055;Y75T79;M;;5
2019-W01;CH055;Y80T84;T;;12
2019-W01;CH055;Y80T84;F;;5
2019-W01;CH055;Y80T84;M;;7
2019-W01;CH055;Y85T89;T;;19
2019-W01;CH055;Y85T89;F;;11
2019-W01;CH055;Y85T89;M;;8
2019-W01;CH055;Y_GE90;T;;23
2019-W01;CH055;Y_GE90;F;;16
2019-W01;CH055;Y_GE90;M;;7
2019-W01;CH056;_T;T;;37
2019-W01;CH056;_T;F;;16
2019-W01;CH056;_T;M;;21
2019-W01;CH056;Y15T19;T;;1
2019-W01;CH056;Y15T19;M;;1
2019-W01;CH056;Y20T24;T;;1
2019-W01;CH056;Y20T24;F;;1
2019-W01;CH056;Y30T34;T;;1
2019-W01;CH056;Y30T34;M;;1
2019-W01;CH056;Y50T54;T;;1
2019-W01;CH056;Y50T54;F;;1
2019-W01;CH056;Y55T59;T;;1
2019-W01;CH056;Y55T59;F;;1
2019-W01;CH056;Y60T64;T;;1
2019-W01;CH056;Y60T64;M;;1
2019-W01;CH056;Y65T69;T;;1
2019-W01;CH056;Y65T69;M;;1
2019-W01;CH056;Y70T74;T;;5
2019-W01;CH056;Y70T74;M;;5
2019-W01;CH056;Y75T79;T;;6
2019-W01;CH056;Y75T79;F;;1
2019-W01;CH056;Y75T79;M;;5
2019-W01;CH056;Y80T84;T;;6
2019-W01;CH056;Y80T84;F;;2
2019-W01;CH056;Y80T84;M;;4
2019-W01;CH056;Y85T89;T;;5
2019-W01;CH056;Y85T89;F;;4
2019-W01;CH056;Y85T89;M;;1
2019-W01;CH056;Y_GE90;T;;8
2019-W01;CH056;Y_GE90;F;;6
2019-W01;CH056;Y_GE90;M;;2
2019-W01;CH057;_T;T;;37
2019-W01;CH057;_T;F;;23
2019-W01;CH057;_T;M;;14
2019-W01;CH057;Y40T44;T;;1
2019-W01;CH057;Y40T44;M;;1
2019-W01;CH057;Y60T64;T;;2
2019-W01;CH057;Y60T64;F;;2
2019-W01;CH057;Y65T69;T;;3
2019-W01;CH057;Y65T69;M;;3
2019-W01;CH057;Y70T74;T;;2
2019-W01;CH057;Y70T74;F;;1
2019-W01;CH057;Y70T74;M;;1
2019-W01;CH057;Y75T79;T;;7
2019-W01;CH057;Y75T79;F;;3
2019-W01;CH057;Y75T79;M;;4
2019-W01;CH057;Y80T84;T;;9
2019-W01;CH057;Y80T84;F;;8
2019-W01;CH057;Y80T84;M;;1
2019-W01;CH057;Y85T89;T;;8
2019-W01;CH057;Y85T89;F;;5
2019-W01;CH057;Y85T89;M;;3
2019-W01;CH057;Y_GE90;T;;5
2019-W01;CH057;Y_GE90;F;;4
2019-W01;CH057;Y_GE90;M;;1
2019-W01;CH061;_T;T;;59
2019-W01;CH061;_T;F;;30
2019-W01;CH061;_T;M;;29
2019-W01;CH061;Y40T44;T;;1
2019-W01;CH061;Y40T44;F;;1
2019-W01;CH061;Y45T49;T;;1
2019-W01;CH061;Y45T49;M;;1
2019-W01;CH061;Y50T54;T;;2
2019-W01;CH061;Y50T54;F;;1
2019-W01;CH061;Y50T54;M;;1
2019-W01;CH061;Y55T59;T;;3
2019-W01;CH061;Y55T59;F;;2
2019-W01;CH061;Y55T59;M;;1
2019-W01;CH061;Y65T69;T;;3
2019-W01;CH061;Y65T69;M;;3
2019-W01;CH061;Y70T74;T;;2
2019-W01;CH061;Y70T74;F;;1
2019-W01;CH061;Y70T74;M;;1
2019-W01;CH061;Y75T79;T;;11
2019-W01;CH061;Y75T79;F;;8
2019-W01;CH061;Y75T79;M;;3
2019-W01;CH061;Y80T84;T;;7
2019-W01;CH061;Y80T84;F;;3
2019-W01;CH061;Y80T84;M;;4
2019-W01;CH061;Y85T89;T;;16
2019-W01;CH061;Y85T89;F;;5
2019-W01;CH061;Y85T89;M;;11
2019-W01;CH061;Y_GE90;T;;13
2019-W01;CH061;Y_GE90;F;;9
2019-W01;CH061;Y_GE90;M;;4
2019-W01;CH062;_T;T;;3
2019-W01;CH062;_T;F;;1
2019-W01;CH062;_T;M;;2
2019-W01;CH062;Y75T79;T;;2
2019-W01;CH062;Y75T79;F;;1
2019-W01;CH062;Y75T79;M;;1
2019-W01;CH062;Y_GE90;T;;1
2019-W01;CH062;Y_GE90;M;;1
2019-W01;CH063;_T;T;;23
2019-W01;CH063;_T;F;;10
2019-W01;CH063;_T;M;;13
2019-W01;CH063;Y40T44;T;;1
2019-W01;CH063;Y40T44;M;;1
2019-W01;CH063;Y45T49;T;;1
2019-W01;CH063;Y45T49;M;;1
2019-W01;CH063;Y50T54;T;;1
2019-W01;CH063;Y50T54;M;;1
2019-W01;CH063;Y55T59;T;;1
2019-W01;CH063;Y55T59;M;;1
2019-W01;CH063;Y60T64;T;;1
2019-W01;CH063;Y60T64;M;;1
2019-W01;CH063;Y65T69;T;;1
2019-W01;CH063;Y65T69;F;;1
2019-W01;CH063;Y70T74;T;;1
2019-W01;CH063;Y70T74;F;;1
2019-W01;CH063;Y75T79;T;;1
2019-W01;CH063;Y75T79;F;;1
2019-W01;CH063;Y80T84;T;;3
2019-W01;CH063;Y80T84;F;;2
2019-W01;CH063;Y80T84;M;;1
2019-W01;CH063;Y85T89;T;;4
2019-W01;CH063;Y85T89;F;;3
2019-W01;CH063;Y85T89;M;;1
2019-W01;CH063;Y_GE90;T;;8
2019-W01;CH063;Y_GE90;F;;2
2019-W01;CH063;Y_GE90;M;;6
2019-W01;CH064;_T;T;;7
2019-W01;CH064;_T;F;;4
2019-W01;CH064;_T;M;;3
2019-W01;CH064;Y50T54;T;;1
2019-W01;CH064;Y50T54;F;;1
2019-W01;CH064;Y60T64;T;;1
2019-W01;CH064;Y60T64;M;;1
2019-W01;CH064;Y65T69;T;;1
2019-W01;CH064;Y65T69;M;;1
2019-W01;CH064;Y85T89;T;;2
2019-W01;CH064;Y85T89;F;;1
2019-W01;CH064;Y85T89;M;;1
2019-W01;CH064;Y_GE90;T;;2
2019-W01;CH064;Y_GE90;F;;2
2019-W01;CH065;_T;T;;5
2019-W01;CH065;_T;F;;2
2019-W01;CH065;_T;M;;3
2019-W01;CH065;Y65T69;T;;1
2019-W01;CH065;Y65T69;M;;1
2019-W01;CH065;Y80T84;T;;3
2019-W01;CH065;Y80T84;F;;2
2019-W01;CH065;Y80T84;M;;1
2019-W01;CH065;Y_GE90;T;;1
2019-W01;CH065;Y_GE90;M;;1
2019-W01;CH066;_T;T;;9
2019-W01;CH066;_T;F;;6
2019-W01;CH066;_T;M;;3
2019-W01;CH066;Y55T59;T;;1
2019-W01;CH066;Y55T59;M;;1
2019-W01;CH066;Y80T84;T;;3
2019-W01;CH066;Y80T84;F;;1
2019-W01;CH066;Y80T84;M;;2
2019-W01;CH066;Y85T89;T;;1
2019-W01;CH066;Y85T89;F;;1
2019-W01;CH066;Y_GE90;T;;4
2019-W01;CH066;Y_GE90;F;;4
2019-W01;CH070;_T;T;;63
2019-W01;CH070;_T;F;;40
2019-W01;CH070;_T;M;;23
2019-W01;CH070;Y15T19;T;;1
2019-W01;CH070;Y15T19;M;;1
2019-W01;CH070;Y30T34;T;;1
2019-W01;CH070;Y30T34;F;;1
2019-W01;CH070;Y40T44;T;;1
2019-W01;CH070;Y40T44;F;;1
2019-W01;CH070;Y55T59;T;;1
2019-W01;CH070;Y55T59;M;;1
2019-W01;CH070;Y60T64;T;;3
2019-W01;CH070;Y60T64;F;;2
2019-W01;CH070;Y60T64;M;;1
2019-W01;CH070;Y65T69;T;;3
2019-W01;CH070;Y65T69;F;;1
2019-W01;CH070;Y65T69;M;;2
2019-W01;CH070;Y70T74;T;;2
2019-W01;CH070;Y70T74;M;;2
2019-W01;CH070;Y75T79;T;;8
2019-W01;CH070;Y75T79;F;;6
2019-W01;CH070;Y75T79;M;;2
2019-W01;CH070;Y80T84;T;;8
2019-W01;CH070;Y80T84;F;;5
2019-W01;CH070;Y80T84;M;;3
2019-W01;CH070;Y85T89;T;;14
2019-W01;CH070;Y85T89;F;;7
