TIME_PERIOD;GEO;AGE;SEX;Obs_status;Obs_value
2020-W23;CH070;Y_GE90;F;P;8
2020-W23;CH070;Y_GE90;M;P;4
2020-W24;CH;_T;T;P;1127
2020-W24;CH;_T;F;P;585
2020-W24;CH;_T;M;P;542
2020-W24;CH;Y0T4;T;P;6
2020-W24;CH;Y0T4;M;P;6
2020-W24;CH;Y10T14;T;P;2
2020-W24;CH;Y10T14;M;P;2
2020-W24;CH;Y20T24;T;P;4
2020-W24;CH;Y20T24;F;P;1
2020-W24;CH;Y20T24;M;P;3
2020-W24;CH;Y25T29;T;P;3
2020-W24;CH;Y25T29;F;P;1
2020-W24;CH;Y25T29;M;P;2
2020-W24;CH;Y30T34;T;P;5
2020-W24;CH;Y30T34;F;P;3
2020-W24;CH;Y30T34;M;P;2
2020-W24;CH;Y35T39;T;P;5
2020-W24;CH;Y35T39;F;P;3
2020-W24;CH;Y35T39;M;P;2
2020-W24;CH;Y40T44;T;P;5
2020-W24;CH;Y40T44;F;P;1
2020-W24;CH;Y40T44;M;P;4
2020-W24;CH;Y45T49;T;P;15
2020-W24;CH;Y45T49;F;P;8
2020-W24;CH;Y45T49;M;P;7
2020-W24;CH;Y50T54;T;P;18
2020-W24;CH;Y50T54;F;P;5
2020-W24;CH;Y50T54;M;P;13
2020-W24;CH;Y55T59;T;P;45
2020-W24;CH;Y55T59;F;P;11
2020-W24;CH;Y55T59;M;P;34
2020-W24;CH;Y60T64;T;P;36
2020-W24;CH;Y60T64;F;P;16
2020-W24;CH;Y60T64;M;P;20
2020-W24;CH;Y65T69;T;P;78
2020-W24;CH;Y65T69;F;P;30
2020-W24;CH;Y65T69;M;P;48
2020-W24;CH;Y70T74;T;P;92
2020-W24;CH;Y70T74;F;P;40
2020-W24;CH;Y70T74;M;P;52
2020-W24;CH;Y75T79;T;P;141
2020-W24;CH;Y75T79;F;P;72
2020-W24;CH;Y75T79;M;P;69
2020-W24;CH;Y80T84;T;P;174
2020-W24;CH;Y80T84;F;P;94
2020-W24;CH;Y80T84;M;P;80
2020-W24;CH;Y85T89;T;P;216
2020-W24;CH;Y85T89;F;P;115
2020-W24;CH;Y85T89;M;P;101
2020-W24;CH;Y_GE90;T;P;282
2020-W24;CH;Y_GE90;F;P;185
2020-W24;CH;Y_GE90;M;P;97
2020-W24;CH011;_T;T;P;97
2020-W24;CH011;_T;F;P;57
2020-W24;CH011;_T;M;P;40
2020-W24;CH011;Y0T4;T;P;1
2020-W24;CH011;Y0T4;M;P;1
2020-W24;CH011;Y10T14;T;P;1
2020-W24;CH011;Y10T14;M;P;1
2020-W24;CH011;Y30T34;T;P;1
2020-W24;CH011;Y30T34;M;P;1
2020-W24;CH011;Y35T39;T;P;1
